3688500001,29921,277,0,DHT22,44.808048,WA1017,0.719512,EE671,0.967923,MLH01,156.165024,NXP3320,0.043176,0,183
3688500002,29922,277,0,DHT22,51.216106,WA1017,0.72385,EE671,0.979065,MLH01,211.689331,NXP3320,0.010125,0,183
3688500003,29923,277,0,DHT22,43.916042,WA1017,0.894314,EE671,0.96525,MLH01,130.521759,NXP3320,0.034544,0,183
3688500004,29924,277,0,DHT22,46.821323,WA1017,0.72311,EE671,0.957698,MLH01,124.042007,NXP3320,0.012285,0,183
3688500005,29925,277,0,DHT22,75.286247,WA1017,0.714224,EE671,0.983375,MLH01,209.98114,NXP3320,0.034696,0,183
3688500006,29926,277,0,DHT22,44.225159,WA1017,0.728978,EE671,0.960842,MLH01,116.798401,NXP3320,0.011458,0,183
3688500007,29927,277,0,DHT22,45.968376,WA1017,0.914141,EE671,0.977416,MLH01,118.152199,NXP3320,0.012203,0,183
3688500008,29928,277,0,DHT22,67.437103,WA1017,0.905064,EE671,0.956024,MLH01,118.636284,NXP3320,0.036967,0,183
3688500009,29929,277,0,DHT22,64.597931,WA1017,0.917815,EE671,0.977105,MLH01,218.471283,NXP3320,0.038253,0,183
3688500010,29930,277,0,DHT22,59.435917,WA1017,0.894578,EE671,0.988403,MLH01,214.604599,NXP3320,0.039987,0,183
3688500011,29931,277,0,DHT22,43.892399,WA1017,0.914141,EE671,0.988877,MLH01,214.067688,NXP3320,0.009677,0,183
3688500012,29932,277,0,DHT22,73.272484,WA1017,0.709235,EE671,0.984915,MLH01,148.311935,NXP3320,0.011216,0,183
3688500013,29933,277,0,DHT22,42.576195,WA1017,0.68868,EE671,0.97963,MLH01,167.513474,NXP3320,0.010036,0,183
3688500014,29934,277,0,DHT22,46.190216,WA1017,0.72339,EE671,0.98081,MLH01,217.390076,NXP3320,0.009816,0,183
3688500015,29935,277,0,DHT22,45.142895,WA1017,0.724538,EE671,0.972244,MLH01,127.600304,NXP3320,0.010589,0,183
3688500016,29936,277,0,DHT22,44.741364,WA1017,0.710979,EE671,0.9764,MLH01,144.047821,NXP3320,0.009564,0,183
